X,Y,OBJECTID,ID,TYPE,SOURCE,LATITUDE,LONGITUDE,DATETIME,AUTOACKNOWLEDGED,INDC,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9300000051385,38.885999997218,62629,6D146716,Multiple_Gunshots,WashingtonDC6D,38.886,-76.93,2015/10/15 04:22:50+00,,,ShotSpotter_62629,{A385AE4D-E36F-4AAB-BAD7-558693471F35},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:55+00
-76.9289999995311,38.8840000001819,62630,6D146717,Multiple_Gunshots,WashingtonDC6D,38.884,-76.929,2015/10/15 04:22:56+00,,,ShotSpotter_62630,{64ADA8B1-E431-4A7B-95B2-5477763D1A00},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:13+00
-76.9419999980176,38.901999999403,62631,6D146720,Single_Gunshot,WashingtonDC6D,38.902,-76.942,2015/10/15 13:19:11+00,,,ShotSpotter_62631,{908D82D5-132E-4316-962B-6968FE286D7F},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:03+00
-77.0010000022054,38.822000002421,62632,7D180383,Single_Gunshot,WashingtonDC7D,38.822,-77.001,2015/10/16 03:30:31+00,,,ShotSpotter_62632,{F1507A73-AFD8-485C-8D25-4C708815DE7F},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:40+00
-76.9970000045101,38.826000001364,62633,7D180384,Single_Gunshot,WashingtonDC7D,38.826,-76.997,2015/10/16 04:13:22+00,,,ShotSpotter_62633,{3B08CC4A-1311-42A8-9102-99EACC95761F},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:32+00
-76.9250000009124,38.8940000009776,62634,6D146738,Multiple_Gunshots,WashingtonDC6D,38.894,-76.925,2015/10/16 16:42:24+00,,,ShotSpotter_62634,{D21F05D4-3495-4234-8BA1-50250241049E},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:03+00
-77.0149999976906,38.8769999978427,62635,1D73391,Multiple_Gunshots,WashingtonDC1D,38.877,-77.015,2015/10/16 16:42:26+00,,,ShotSpotter_62635,{4D10E760-BB20-43E1-9CEC-00EF360CEC6E},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:57+00
-76.9859999990416,38.900999999728,62636,5D55730,Single_Gunshot,WashingtonDC5D,38.901,-76.986,2015/10/16 20:45:01+00,,,ShotSpotter_62636,{FF8F7072-25C6-488E-8CA6-D3BCBA1A4529},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:28+00
-76.9849999947764,38.9010000017456,62637,1D73397,Single_Gunshot,WashingtonDC1D,38.901,-76.985,2015/10/16 20:45:02+00,,,ShotSpotter_62637,{161C816E-6467-4614-8038-775E906AEA36},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:16+00
-76.9490000018139,38.8929999978099,62638,6D146742,Single_Gunshot,WashingtonDC6D,38.893,-76.949,2015/10/16 21:26:49+00,,,ShotSpotter_62638,{18FB90E6-4CC5-48F7-B07A-57880A7A3718},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:51+00
-76.998000004605,38.8449999970434,62639,7D180402,Multiple_Gunshots,WashingtonDC7D,38.845,-76.998,2015/10/16 23:07:16+00,,,ShotSpotter_62639,{7ED9939B-39E1-46E3-8ECF-F2B5DB6E3525},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:13+00
-76.941000004486,38.8910000023516,62640,6D146745,Single_Gunshot,WashingtonDC6D,38.891,-76.941,2015/10/16 23:26:38+00,,,ShotSpotter_62640,{68005482-1D44-4D0B-B796-1A70F69FD822},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:26+00
-76.9140000015496,38.8959999995729,62641,6D146746,Multiple_Gunshots,WashingtonDC6D,38.896,-76.914,2015/10/17 00:09:47+00,,,ShotSpotter_62641,{00E56AB9-DF13-4135-8DAA-74282DF4DB1E},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:45+00
-76.9980000015045,38.8269999991352,62642,7D180424,Multiple_Gunshots,WashingtonDC7D,38.827,-76.998,2015/10/17 01:26:48+00,,,ShotSpotter_62642,{8060CC7B-3F38-4BFA-968A-FC55FDB1C0D1},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:09+00
-76.9990000034735,38.827999997189,62643,7D180426,Multiple_Gunshots,WashingtonDC7D,38.828,-76.999,2015/10/17 01:26:54+00,,,ShotSpotter_62643,{060150CD-62FE-4542-BDE4-376AB15719F5},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:35+00
-76.9990000034735,38.827999997189,62644,7D180428,Multiple_Gunshots,WashingtonDC7D,38.828,-76.999,2015/10/17 01:27:20+00,,,ShotSpotter_62644,{DFD0BB0B-298E-4E17-B044-AEDFA9D8863A},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:03+00
-77.00800000485,38.9070000018282,62645,5D55733,Single_Gunshot,WashingtonDC5D,38.907,-77.008,2015/10/17 01:30:12+00,,,ShotSpotter_62645,{21F3C625-C9BB-4970-AC1B-A4AE93ABDA1A},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:51+00
-76.9259999993938,38.8929999975851,62646,6D146747,Multiple_Gunshots,WashingtonDC6D,38.893,-76.926,2015/10/17 02:01:46+00,,,ShotSpotter_62646,{D41CC95B-AAB6-4728-8588-96387ACCC429},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:10:11+00
