"","filename","sentence","index","date","title","publication","title2","filepath"
"26","AI_yao_taufiq_extracted_1.txt","  3. NATIONAL GUARD EMPLOYS AI TO BATTLE WILDFIRES, IMPROVE DISASTER RESPONSE",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"27","AI_yao_taufiq_extracted_1.txt","  Apr 08, 2024      States News Service States News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"28","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"29","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"30","AI_yao_taufiq_extracted_1.txt","  4. INTERNATIONAL PATENT: REPUBLIC OF KOREA(NATIONAL DISASTER MANAGEMENT",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"31","AI_yao_taufiq_extracted_1.txt","  RESEARCH INSTITUTE),",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"32","AI_yao_taufiq_extracted_1.txt","  &#45824;&#54620;&#48124;&#44397;(&#54665;&#51221;&#50504;&#51204;&#485",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"33","AI_yao_taufiq_extracted_1.txt","  12;",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"34","AI_yao_taufiq_extracted_1.txt","  &#44397;&#47549;&#51116;&#45212;&#50504;&#51204;&#50672;&#44396;&#...",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"35","AI_yao_taufiq_extracted_1.txt","  Apr 16, 2024      US Fed News",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"36","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"37","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"38","AI_yao_taufiq_extracted_1.txt","  5. OPERATION HOPE BECOMES THE FIRST FINANCIAL LITERACY NONPROFIT TO EMBED",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"39","AI_yao_taufiq_extracted_1.txt","  ARTIFICIAL INTELLIGENCE INTO ITS MODEL",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"40","AI_yao_taufiq_extracted_1.txt","  Jul 09, 2024      PR Newswire",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"41","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"42","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"43","AI_yao_taufiq_extracted_1.txt","  6. NSF and philanthropic partners invest more than $18M to prioritize ethical and societal",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"44","AI_yao_taufiq_extracted_1.txt","  considerations in the creation of emerging technologies",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"45","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"46","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"47","AI_yao_taufiq_extracted_1.txt","             | About LexisNexis | Privacy Policy | Terms & Conditions | Copyright © 2020 LexisNexis",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"48","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"49","AI_yao_taufiq_extracted_1.txt","Sep 24, 2024       Targeted News Service           Targeted News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"50","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"51","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"52","AI_yao_taufiq_extracted_1.txt","7. USPTO ISSUES TRADEMARK:",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"53","AI_yao_taufiq_extracted_1.txt","Aug 16, 2024       US Fed News",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"54","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"55","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"56","AI_yao_taufiq_extracted_1.txt","8. USPTO ISSUES TRADEMARK:",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"57","AI_yao_taufiq_extracted_1.txt","Aug 16, 2024       US Fed News",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"58","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"59","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"60","AI_yao_taufiq_extracted_1.txt","9. NSF AND PHILANTHROPIC PARTNERS INVEST MORE THAN $18M TO PRIORITIZE",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"61","AI_yao_taufiq_extracted_1.txt","ETHICAL AND SOCIETAL CONSIDERATIONS IN THE CREATION OF EMERGING",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"62","AI_yao_taufiq_extracted_1.txt","TECHNOLOGIES",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"63","AI_yao_taufiq_extracted_1.txt","Sep 23, 2024       States News Service States News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"64","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"65","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"66","AI_yao_taufiq_extracted_1.txt","10. CEC Research Optimizes Autonomous Drone Swarms With AI for Potential Disaster",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"67","AI_yao_taufiq_extracted_1.txt","Response Applications",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"68","AI_yao_taufiq_extracted_1.txt","Aug 24, 2024       Targeted News Service           Targeted News Service",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
"69","AI_yao_taufiq_extracted_1.txt","",1,2024-07-18,"AI For All Phases of Disaster Management","    Targeted News Service           Targeted News Service","ai for all phases of disaster management","./exercises/assets/extracted_text/AI_yao_taufiq_extracted_1.txt"
